Sample ID,Date_collected,Tissue,Site,Size_class,Length,Total_DW ,Delta15N,PercentN,Delta13C,Delta13C_corrected,PercentC,CN_ratio,ug_N,ug_C,Ampl 28,N Area,Ampl 44,C Area
N-AUG30-1A,30-Aug-10,N,1+,N,NA,0.833,5.83,3.64,-22.98,-21.93,14.51,4.42,15.7,69.6,662,8,1115,16
N-AUG30-1B,30-Aug-10,N,1+,N,NA,0.62,5.46,2.31,-24.12,-22.15,19.67,5.35,14.3,76.6,585,7,1117,16
N-AUG30-1D,30-Aug-10,N,1+,N,NA,0.179,5.42,10.63,-23.05,-22.15,70.72,4.27,19,81.2,4014,46,16716,254
N-AUG30-1E,30-Aug-10,N,1+,N,NA,0.204,4.81,8.11,-23.89,-20.64,76.04,6.63,16.6,109.8,3446,40,20171,310
N-AUG31-1A,31-Aug-10,N,1+,N,NA,1.95,6.33,1.04,-23.28,-21.53,7.68,5.12,20.4,104.3,884,10,1376,20
N-AUG31-1B,31-Aug-10,N,1+,N,NA,1.751,6.2,1.49,-22.68,-21.57,9.28,4.48,26.2,117.1,1169,14,1488,22
N-AUG31-1C,31-Aug-10,N,1+,N,NA,2.215,6.02,0.81,-23.4,-19.85,7.68,6.94,18,124.7,752,9,1548,23
N-AUG31-1D,31-Aug-10,N,1+,N,NA,2.043,5.93,0.66,-23.59,-18.85,7.56,8.15,13.4,109.2,536,6,1406,21
N-AUG31-1E,31-Aug-10,N,1+,N,NA,1.268,5.65,1.3,-23.24,-20.33,11.76,6.3,16.5,103.8,690,8,1365,20
N-SEP02-1A,02-Sep-10,N,1+,N,NA,0.646,5.46,2.07,-23.64,-20.96,19.55,6.06,13.3,80.9,689,6,888,11
N-SEP02-1B,02-Sep-10,N,1+,N,NA,2.026,5.69,1.23,-22.75,-21.77,7.59,4.34,24.9,108.3,1255,12,1097,14
N-SEP02-1C,02-Sep-10,N,1+,N,NA,2.187,6.48,1.29,-23.12,-21.97,7.91,4.51,28.3,127.7,1280,15,1614,23
S-AUG24-1A,24-Aug-10,S,1+,S,NA,0.623,4.64,2.41,-23.87,-22.01,16.45,5.23,15,78.5,490,5,652,9
S-AUG24-1B,24-Aug-10,S,1+,S,NA,0.889,3.63,1.8,-23.96,-22.27,11.78,5.05,16,80.8,521,5,656,9
S-AUG24-1C,24-Aug-10,S,1+,S,NA,1.169,2.71,1.21,-24.12,-22.36,8.29,5.13,14.2,72.9,437,4,600,8
S-AUG25-1B,25-Aug-10,S,1+,S,NA,1.406,3.44,1.04,-24.36,-22.49,7.17,5.24,14.7,76.9,482,5,664,9
S-AUG25-1C,25-Aug-10,S,1+,S,NA,1.304,3.44,1.11,-24.43,-22.44,7.83,5.37,14.5,78.1,490,5,681,9
